Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
328-27-2679,Cairo,Mandalay,Member,Female,Health and beauty,20.02,5,5.0050,105.1050,2/1/2019,10:05:00 AM,Ewallet,100.1000,4.761904762,5.0050,5.4
818-79-7873,Cairo,Mandalay,Member,Female,Food and beverages,12.39,4,2.4780,52.0380,3/25/2019,2:51:00 PM,Ewallet,49.5600,4.761904762,2.4780,8.6
259-37-6514,Alex,Yangon,Member,Male,Sports and travel,72.83,6,21.8490,458.8290,2/5/2019,11:22:00 AM,Cash,436.9800,4.761904762,21.8490,7.6
487-20-5803,Alex,Yangon,Normal,Male,Fashion accessories,75.68,9,34.0560,715.1760,1/16/2019,11:02:00 AM,Credit card,681.1200,4.761904762,34.0560,5.4
489-45-8428,Giza,Naypyitaw,Normal,Male,Home and lifestyle,98.67,4,19.7340,414.4140,1/13/2019,3:13:00 PM,Credit card,394.6800,4.761904762,19.7340,5.6
275-78-5010,Cairo,Mandalay,Member,Female,Sports and travel,68.32,10,34.1600,717.3600,3/23/2019,2:59:00 PM,Credit card,683.2000,4.761904762,34.1600,8.1
941-14-6168,Alex,Yangon,Normal,Female,Health and beauty,71.62,1,3.5810,75.2010,1/30/2019,1:58:00 PM,Credit card,71.6200,4.761904762,3.5810,9.3
758-68-3340,Giza,Naypyitaw,Normal,Male,Electronic accessories,29.14,8,11.6560,244.7760,2/20/2019,6:34:00 PM,Cash,233.1200,4.761904762,11.6560,8.5
324-27-9348,Giza,Naypyitaw,Normal,Male,Health and beauty,90.80,7,31.7800,667.3800,2/16/2019,11:09:00 AM,Credit card,635.6000,4.761904762,31.7800,5.0
490-86-8668,Cairo,Mandalay,Normal,Male,Fashion accessories,47.99,2,4.7990,100.7790,2/19/2019,11:43:00 AM,Credit card,95.9800,4.761904762,4.7990,8.5
261-68-1053,Cairo,Mandalay,Normal,Male,Food and beverages,40.62,5,10.1550,213.2550,2/25/2019,11:55:00 AM,Credit card,203.1000,4.761904762,10.1550,5.8
482-30-9837,Cairo,Mandalay,Member,Female,Sports and travel,55.69,4,11.1380,233.8980,1/20/2019,10:07:00 AM,Cash,222.7600,4.761904762,11.1380,9.3
180-20-8962,Giza,Naypyitaw,Member,Male,Electronic accessories,31.55,4,6.3100,132.5100,3/14/2019,8:30:00 PM,Credit card,126.2000,4.761904762,6.3100,5.0
652-98-4295,Cairo,Mandalay,Normal,Female,Fashion accessories,88.52,7,30.9820,650.6220,1/28/2019,8:23:00 PM,Cash,619.6400,4.761904762,30.9820,9.4
446-12-4770,Giza,Naypyitaw,Member,Male,Health and beauty,20.89,4,4.1780,87.7380,1/9/2019,8:03:00 PM,Ewallet,83.5600,4.761904762,4.1780,4.4
343-45-8953,Alex,Yangon,Member,Male,Fashion accessories,87.37,2,8.7370,183.4770,3/7/2019,7:36:00 PM,Cash,174.7400,4.761904762,8.7370,5.5
199-94-8062,Giza,Naypyitaw,Normal,Female,Sports and travel,82.67,4,16.5340,347.2140,1/13/2019,5:55:00 PM,Credit card,330.6800,4.761904762,16.5340,4.3
512-53-2790,Cairo,Mandalay,Member,Male,Electronic accessories,98.57,2,9.8570,206.9970,1/8/2019,6:28:00 PM,Ewallet,197.1400,4.761904762,9.8570,6.5
927-80-2604,Giza,Naypyitaw,Member,Male,Health and beauty,51.64,2,5.1640,108.4440,2/26/2019,1:10:00 PM,Cash,103.2800,4.761904762,5.1640,6.9
488-10-7396,Alex,Yangon,Normal,Female,Home and lifestyle,87.82,1,4.3910,92.2110,1/22/2019,4:44:00 PM,Credit card,87.8200,4.761904762,4.3910,10.0
294-47-4566,Cairo,Mandalay,Member,Male,Fashion accessories,69.57,8,27.8280,584.3880,1/20/2019,3:03:00 PM,Ewallet,556.5600,4.761904762,27.8280,7.5
158-75-2312,Cairo,Mandalay,Member,Male,Food and beverages,92.74,9,41.7330,876.3930,1/21/2019,11:43:00 AM,Ewallet,834.6600,4.761904762,41.7330,6.4
734-20-7868,Cairo,Mandalay,Normal,Female,Electronic accessories,32.16,10,16.0800,337.6800,1/6/2019,8:45:00 PM,Cash,321.6000,4.761904762,16.0800,5.4
423-19-1152,Giza,Naypyitaw,Normal,Male,Health and beauty,21.78,5,5.4450,114.3450,2/28/2019,6:13:00 PM,Credit card,108.9000,4.761904762,5.4450,5.6
391-30-8179,Giza,Naypyitaw,Normal,Male,Fashion accessories,89.28,4,17.8560,374.9760,2/17/2019,6:19:00 PM,Credit card,357.1200,4.761904762,17.8560,4.6
259-44-5616,Alex,Yangon,Member,Female,Electronic accessories,33.80,2,3.3800,70.9800,3/12/2019,8:40:00 PM,Cash,67.6000,4.761904762,3.3800,7.0
749-64-5533,Giza,Naypyitaw,Member,Male,Home and lifestyle,91.48,1,4.5740,96.0540,1/12/2019,12:40:00 PM,Cash,91.4800,4.761904762,4.5740,5.0
109-24-2232,Giza,Naypyitaw,Member,Male,Home and lifestyle,59.65,7,20.8775,438.4275,3/13/2019,7:35:00 PM,Ewallet,417.5500,4.761904762,20.8775,6.6
315-97-5088,Alex,Yangon,Member,Female,Food and beverages,37.74,1,1.8870,39.6270,2/15/2019,4:39:00 PM,Credit card,37.7400,4.761904762,1.8870,4.9
125-32-6442,Alex,Yangon,Normal,Male,Home and lifestyle,87.81,3,13.1715,276.6015,2/22/2019,12:50:00 PM,Credit card,263.4300,4.761904762,13.1715,4.6
936-68-6728,Alex,Yangon,Normal,Male,Electronic accessories,87.27,4,17.4540,366.5340,1/26/2019,10:42:00 AM,Ewallet,349.0800,4.761904762,17.4540,6.4
756-75-7548,Giza,Naypyitaw,Normal,Male,Health and beauty,87.79,5,21.9475,460.8975,2/14/2019,2:11:00 PM,Credit card,438.9500,4.761904762,21.9475,9.8
453-50-8149,Giza,Naypyitaw,Member,Female,Food and beverages,13.44,10,6.7200,141.1200,2/25/2019,1:16:00 PM,Ewallet,134.4000,4.761904762,6.7200,8.3
836-95-4228,Alex,Yangon,Normal,Female,Health and beauty,56.79,9,25.5555,536.6655,3/29/2019,8:58:00 PM,Cash,511.1100,4.761904762,25.5555,7.7
416-95-7691,Cairo,Mandalay,Normal,Female,Fashion accessories,86.32,5,21.5800,453.1800,3/6/2019,2:35:00 PM,Ewallet,431.6000,4.761904762,21.5800,5.2
682-48-7653,Cairo,Mandalay,Member,Female,Home and lifestyle,94.63,3,14.1945,298.0845,3/20/2019,1:27:00 PM,Credit card,283.8900,4.761904762,14.1945,7.6
318-75-8752,Giza,Naypyitaw,Member,Male,Home and lifestyle,51.85,8,20.7400,435.5400,3/28/2019,6:42:00 PM,Credit card,414.8000,4.761904762,20.7400,7.7
417-38-4262,Alex,Yangon,Member,Male,Health and beauty,83.66,4,16.7320,351.3720,3/28/2019,1:30:00 PM,Credit card,334.6400,4.761904762,16.7320,9.1
835-99-7291,Alex,Yangon,Normal,Female,Electronic accessories,50.99,10,25.4950,535.3950,1/25/2019,12:41:00 PM,Credit card,509.9000,4.761904762,25.4950,4.0
923-99-9486,Alex,Yangon,Normal,Male,Food and beverages,80.06,4,16.0120,336.2520,1/23/2019,1:58:00 PM,Ewallet,320.2400,4.761904762,16.0120,6.7
424-66-9270,Giza,Naypyitaw,Normal,Female,Electronic accessories,70.08,9,31.5360,662.2560,3/18/2019,5:28:00 PM,Cash,630.7200,4.761904762,31.5360,8.5
741-40-5499,Cairo,Mandalay,Normal,Male,Fashion accessories,34.96,9,15.7320,330.3720,3/4/2019,2:15:00 PM,Cash,314.6400,4.761904762,15.7320,6.0
492-98-3503,Cairo,Mandalay,Member,Male,Sports and travel,17.25,3,2.5875,54.3375,1/30/2019,4:21:00 PM,Credit card,51.7500,4.761904762,2.5875,6.8
888-84-1320,Alex,Yangon,Normal,Female,Health and beauty,28.62,7,10.0170,210.3570,2/19/2019,3:19:00 PM,Cash,200.3400,4.761904762,10.0170,9.1
325-72-4595,Giza,Naypyitaw,Normal,Female,Sports and travel,58.44,9,26.2980,552.2580,3/19/2019,10:24:00 AM,Cash,525.9600,4.761904762,26.2980,8.0
737-78-1441,Giza,Naypyitaw,Normal,Male,Health and beauty,75.18,8,30.0720,631.5120,1/17/2019,8:27:00 PM,Ewallet,601.4400,4.761904762,30.0720,9.2
316-68-6355,Alex,Yangon,Normal,Female,Home and lifestyle,14.53,7,5.0855,106.7955,2/11/2019,4:16:00 PM,Ewallet,101.7100,4.761904762,5.0855,6.8
765-18-1659,Cairo,Mandalay,Member,Male,Electronic accessories,58.55,6,17.5650,368.8650,1/29/2019,10:39:00 AM,Ewallet,351.3000,4.761904762,17.5650,5.4
576-99-5198,Giza,Naypyitaw,Normal,Male,Food and beverages,70.25,10,35.1250,737.6250,1/28/2019,7:47:00 PM,Credit card,702.5000,4.761904762,35.1250,4.7
126-49-7149,Alex,Yangon,Normal,Male,Health and beauty,96.82,2,9.6820,203.3220,3/16/2019,7:44:00 PM,Credit card,193.6400,4.761904762,9.6820,5.5
915-82-1672,Cairo,Mandalay,Normal,Female,Fashion accessories,79.52,10,39.7600,834.9600,1/16/2019,3:04:00 PM,Credit card,795.2000,4.761904762,39.7600,7.9
543-56-8532,Alex,Yangon,Member,Female,Electronic accessories,86.46,8,34.5840,726.2640,1/14/2019,6:41:00 PM,Cash,691.6800,4.761904762,34.5840,7.7
945-85-5397,Cairo,Mandalay,Normal,Male,Health and beauty,79.72,8,31.8880,669.6480,2/25/2019,2:56:00 PM,Cash,637.7600,4.761904762,31.8880,5.5
129-73-6325,Giza,Naypyitaw,Member,Female,Electronic accessories,61.29,7,21.4515,450.4815,2/13/2019,3:51:00 PM,Cash,429.0300,4.761904762,21.4515,6.0
110-76-4130,Cairo,Mandalay,Member,Male,Fashion accessories,73.11,5,18.2775,383.8275,3/13/2019,4:31:00 PM,Credit card,365.5500,4.761904762,18.2775,8.5
911-12-2524,Cairo,Mandalay,Normal,Male,Sports and travel,52.85,8,21.1400,443.9400,2/27/2019,1:19:00 PM,Credit card,422.8000,4.761904762,21.1400,7.5
863-80-6419,Giza,Naypyitaw,Normal,Female,Home and lifestyle,59.81,6,17.9430,376.8030,2/24/2019,2:16:00 PM,Ewallet,358.8600,4.761904762,17.9430,4.7
289-34-4545,Alex,Yangon,Normal,Female,Fashion accessories,38.40,9,17.2800,362.8800,3/30/2019,7:48:00 PM,Credit card,345.6000,4.761904762,17.2800,7.6
469-32-5952,Alex,Yangon,Member,Male,Home and lifestyle,84.94,5,21.2350,445.9350,1/30/2019,10:03:00 AM,Credit card,424.7000,4.761904762,21.2350,5.8
993-11-5658,Alex,Yangon,Normal,Female,Sports and travel,67.41,8,26.9640,566.2440,1/14/2019,3:11:00 PM,Ewallet,539.2800,4.761904762,26.9640,5.5
603-19-1878,Giza,Naypyitaw,Member,Male,Food and beverages,20.27,2,2.0270,42.5670,2/21/2019,2:05:00 PM,Ewallet,40.5400,4.761904762,2.0270,4.7
894-76-7232,Giza,Naypyitaw,Normal,Female,Home and lifestyle,64.57,10,32.2850,677.9850,1/29/2019,7:27:00 PM,Cash,645.7000,4.761904762,32.2850,7.4
